idx,pattern,mean_loss,std_loss
493,stable,0.033837665,0.117034584
494,stable,0.043292347,0.118299305
495,stable,0.077795915,0.30032194
496,falling,0.068790354,0.26540545
497,falling,0.03955545,0.0962507
498,falling,0.059831485,0.16181672
499,falling,0.05557788,0.13943288
500,falling,0.041973814,0.08441039
501,falling,0.03603656,0.044025358
502,stable,0.03767493,0.040797472
503,stable,0.03789335,0.046955727
504,stable,0.0389125,0.048117504
505,stable,0.046824474,0.059862666
506,stable,0.047093794,0.037514914
507,stable,0.040555317,0.056969967
508,rising,0.035383333,0.054889377
509,rising,0.029653909,0.056713082
510,rising,0.040737294,0.086186424
511,rising,0.036833763,0.031869113
512,rising,0.077752285,0.23907642
513,rising,0.0821126,0.2691296
514,stable,0.04428419,0.05836773
515,stable,0.05229079,0.116657816
516,stable,0.106756285,0.31504768
517,stable,0.10678414,0.33886606
518,stable,0.08990668,0.23805647
519,stable,0.09034357,0.26085645
520,falling,0.08286823,0.26256612
521,falling,0.08077788,0.09682637
522,falling,0.08852826,0.06007994
523,falling,0.06845775,0.07059283
524,falling,0.066293925,0.045851674
525,falling,0.067121625,0.042469308
526,stable,0.067726105,0.05875773
527,stable,0.06886813,0.044105537
528,stable,0.0715096,0.06281524
529,stable,0.06380969,0.0508191
530,stable,0.07372116,0.051592927
531,stable,0.07028548,0.055307146
532,rising,0.081830814,0.07761491
533,rising,0.050687373,0.01615406
534,rising,0.059476208,0.023025965
535,rising,0.10045421,0.19560146
536,rising,0.08059077,0.08660376
537,rising,0.07258632,0.069055654
538,rising,0.07737938,0.12222358
539,stable,0.07586905,0.1846931
540,stable,0.06928385,0.09984959
541,stable,0.11077123,0.3246123
542,stable,0.06716299,0.08778089
543,falling,0.056813117,0.07174588
544,stable,0.08955393,0.25146773
545,stable,0.057841696,0.03553805
546,falling,0.047563557,0.10037136
547,falling,0.035768393,0.05141449
548,falling,0.027087325,0.013842986
549,falling,0.040627316,0.037198085
550,stable,0.04511291,0.05087953
551,stable,0.043815814,0.029543968
552,stable,0.034496807,0.034728408
553,stable,0.039388575,0.04205026
554,stable,0.044078924,0.044733066
555,stable,0.042655613,0.04614047
556,stable,0.045641147,0.0604208
557,rising,0.058490362,0.12606071
558,rising,0.057690855,0.09588763
559,rising,0.06569453,0.120435074
560,rising,0.05606964,0.06526116
561,stable,0.041280046,0.046204068
562,stable,0.08091986,0.24948733
563,stable,0.038855903,0.06650164
564,stable,0.035955664,0.052787896
565,stable,0.02743681,0.03839088
566,stable,0.07323964,0.2803344
567,stable,0.02318507,0.030602463
568,falling,0.028643245,0.038388457
569,falling,0.032172788,0.057207692
570,falling,0.0452549,0.037912305
571,falling,0.04509852,0.018134078
572,stable,0.06324967,0.016883481
573,falling,0.06575613,0.046443775
574,stable,0.07045395,0.025779855
575,stable,0.07212183,0.028141066
576,stable,0.07622949,0.049120832
577,stable,0.06798305,0.029089961
578,stable,0.07533822,0.035823874
579,stable,0.074125916,0.026774233
580,rising,0.078384005,0.04853075
581,rising,0.07811766,0.072272085
582,rising,0.076710686,0.041031655
583,rising,0.056015026,0.011688937
584,rising,0.06091125,0.035353847
585,rising,0.051296767,0.038917106
586,stable,0.03215695,0.026417831
587,stable,0.07543618,0.22742714
588,stable,0.044135395,0.0348563
589,stable,0.07946185,0.24600941
590,stable,0.053059988,0.06599438
591,stable,0.05041413,0.029802004
592,stable,0.049726784,0.042707294
593,falling,0.07402103,0.12394611
594,falling,0.077343814,0.15268484
595,falling,0.04377928,0.03259859
596,falling,0.050959967,0.05939617
597,stable,0.041993912,0.017563585
598,stable,0.0448954,0.029128173
599,stable,0.050537705,0.044136498
600,stable,0.04172847,0.0077845263
601,stable,0.04315054,0.014483986
602,stable,0.047466233,0.012881114
603,rising,0.033789895,0.020747848
604,rising,0.048121076,0.10723109
605,rising,0.048953865,0.115062624
606,rising,0.04555348,0.11290166
607,rising,0.036381807,0.033875786
608,rising,0.051957026,0.08784629
609,rising,0.05520324,0.122578755
610,stable,0.05803106,0.031431332
611,stable,0.058303606,0.033831652
612,stable,0.05251096,0.023137609
613,stable,0.08264466,0.23784815
614,stable,0.051167205,0.062672995
615,stable,0.043762226,0.018792594
616,falling,0.084303424,0.22929807
617,falling,0.101020694,0.22362036
618,falling,0.09269505,0.18870494
619,falling,0.059597846,0.01676606
620,falling,0.054125898,0.011060604
621,falling,0.06135039,0.011886067
622,falling,0.06425047,0.01795577
623,stable,0.07981624,0.097448744
624,stable,0.053178158,0.013625363
625,stable,0.0741415,0.08888462
626,stable,0.06546805,0.013031008
627,rising,0.045514125,0.014190733
628,rising,0.058688793,0.017352693
629,rising,0.033170015,0.021811875
630,rising,0.030623307,0.01243326
631,rising,0.052197676,0.13172106
632,rising,0.02717591,0.007891503
633,rising,0.055133656,0.1582643
634,stable,0.04041871,0.020102805
635,stable,0.035976727,0.007410092
636,stable,0.046491813,0.07602471
637,stable,0.04531202,0.011744079
638,stable,0.05401814,0.036490627
639,stable,0.07581911,0.16676849
640,falling,0.04521249,0.025820779
641,falling,0.047968704,0.026072823
642,falling,0.04247152,0.017359994
643,falling,0.0580912,0.0797561
644,falling,0.045494966,0.018470598
645,falling,0.045291997,0.012918175
646,falling,0.044641174,0.10294644
647,stable,0.027083486,0.0042826533
648,stable,0.030308357,0.0061171926
649,stable,0.03912558,0.051215388
650,stable,1.4313271,0.06801701
651,stable,2.079781,0.10933205
652,rising,2.4819436,0.102327384
653,rising,2.6065872,0.14438422
654,rising,2.6905394,0.15552637
655,rising,2.7799454,0.18470342
656,rising,2.7569644,0.20865296
657,rising,2.729544,0.13527216
658,stable,2.7106872,0.2216274
659,stable,2.814424,0.2552318
660,stable,2.795079,0.19097213
661,stable,2.776471,0.13376313
662,spike,0.27362257,0.2974952
663,spike,0.0655853,0.06832291
664,spike,0.059177257,0.022519266
665,spike,0.05083016,0.036425147
666,spike,0.06736276,0.11146409
667,spike,0.042575072,0.0092603145
668,spike,0.04392322,0.015721565
669,spike,0.06457344,0.02065951
670,spike,0.0997624,0.040340103
671,spike,0.11407061,0.09985602
672,spike,0.12449195,0.09776659
673,falling,0.13201813,0.105805345
674,falling,0.16995308,0.15279715
675,stable,0.14471208,0.16511896
676,stable,0.18042938,0.21652149
677,stable,0.18775776,0.22325483
678,rising,0.16381139,0.1958012
679,rising,0.17823252,0.21466936
680,rising,0.1970136,0.2315415
681,stable,0.15090299,0.17811733
682,stable,0.11174813,0.1184721
683,stable,0.112380736,0.13459368
684,stable,0.10194839,0.13965106
685,stable,0.07102021,0.046309993
686,stable,0.10374717,0.1309194
687,stable,0.10356731,0.0508892
688,stable,0.13048708,0.14982691
689,falling,0.1195439,0.06556776
690,falling,0.117034584,0.109665945
691,falling,0.112959094,0.060189985
692,falling,0.14086914,0.054633938
693,stable,0.094168924,0.03888387
694,stable,0.08257566,0.030691013
695,stable,0.0955805,0.04053148
696,stable,0.10311122,0.029157117
697,stable,0.07502495,0.027190883
698,stable,0.047808897,0.012098295
699,rising,0.036635406,0.0062909224
700,rising,0.03698636,0.008347648
701,rising,0.041404042,0.019367842
702,rising,0.043663833,0.033272117
703,rising,0.038220324,0.0110150045
704,rising,0.038589694,0.00902905
705,stable,0.06596573,0.1015499
706,rising,0.031103553,0.011998569
707,stable,0.036448013,0.021834482
708,stable,0.03615643,0.021822138
709,stable,0.026400914,0.0128650395
710,stable,0.03573033,0.01792473
711,stable,0.05517264,0.0271709
712,falling,0.054817345,0.019637534
713,falling,0.0464289,0.016730193
714,falling,0.049632765,0.013289741
715,falling,0.04946112,0.015000521
716,falling,0.05324234,0.02161254
717,falling,0.08467449,0.16913243
718,falling,0.054084755,0.030193856
719,stable,0.050327588,0.035599746
720,stable,0.05668233,0.01488403
721,stable,0.08992907,0.14563048
722,stable,0.048387785,0.030877665
723,rising,0.04231203,0.015480901
724,rising,0.072168425,0.14412238
725,rising,0.063043796,0.14585336
726,rising,0.04573937,0.01641551
727,rising,0.037190426,0.012428603
728,rising,0.039432935,0.03462998
729,rising,0.027617717,0.025905488
730,stable,0.025981206,0.013626471
731,stable,0.02588939,0.007928763
732,stable,0.021853833,0.009305707
733,stable,0.028251048,0.028468927
734,stable,0.02421453,0.010164982
735,stable,0.046833463,0.09307488
736,falling,0.0284576,0.011796113
737,falling,0.030835947,0.016331801
738,falling,0.055743095,0.1474118
739,falling,0.06880916,0.16766888
740,falling,0.060302828,0.15428331
741,falling,0.034104954,0.02899456
742,stable,0.037674785,0.025349734
743,stable,0.034423348,0.012027059
744,stable,0.041110013,0.03981091
