idx,pattern,mean_loss,std_loss
491,stable,0.028816875,0.02272651
492,stable,0.034652356,0.06887792
493,stable,0.016745578,0.0120215
494,stable,0.06451807,0.22559665
495,stable,0.052035447,0.16372432
496,falling,0.021646732,0.0063913926
497,falling,0.021105533,0.0047032614
498,falling,0.03286732,0.020458756
499,falling,0.03759845,0.009064765
500,falling,0.04321212,0.018616803
501,falling,0.040611204,0.03224981
502,stable,0.037487388,0.034599707
503,stable,0.04115235,0.057962026
504,stable,0.052177068,0.08682962
505,stable,0.04299042,0.03207584
506,stable,0.05684855,0.019931106
507,stable,0.027790766,0.011110525
508,rising,0.028171875,0.009670691
509,rising,0.028750451,0.020064257
510,rising,0.02166726,0.009226387
511,rising,0.031820532,0.034766585
512,rising,0.040740173,0.09505183
513,rising,0.033484217,0.046866786
514,stable,0.03705656,0.022138
515,stable,0.06037951,0.1451356
516,stable,0.11594685,0.353585
517,stable,0.06845395,0.11963297
518,stable,0.05297095,0.014372097
519,stable,0.047642153,0.012687057
520,falling,0.04358175,0.013202789
521,falling,0.06259641,0.023487998
522,falling,0.063392125,0.022343285
523,falling,0.054645285,0.020208705
524,falling,0.063509464,0.018014625
525,falling,0.06441471,0.028002778
526,stable,0.059478123,0.04222282
527,stable,0.057652716,0.005779045
528,stable,0.08690862,0.112316296
529,stable,0.056622572,0.01450433
530,stable,0.08722119,0.10946161
531,stable,0.06094328,0.0074998736
532,rising,0.071791716,0.04067888
533,rising,0.054810807,0.021339018
534,rising,0.06111831,0.026199432
535,rising,0.060484514,0.009077653
536,rising,0.06634684,0.029310785
537,rising,0.071261555,0.05026572
538,rising,0.08443609,0.09305293
539,stable,0.0586806,0.061160397
540,stable,0.057386834,0.013011029
541,stable,0.056971762,0.00811318
542,stable,0.10103151,0.20435257
543,falling,0.05313064,0.00781488
544,stable,0.071213536,0.13116683
545,stable,0.052449405,0.025128461
546,falling,0.030752163,0.0066684107
547,falling,0.029196328,0.0061494424
548,falling,0.051771816,0.08869416
549,falling,0.03505559,0.004969011
550,stable,0.04679374,0.060627796
551,stable,0.03777758,0.01193212
552,stable,0.075924404,0.15315658
553,stable,0.042258378,0.062191512
554,stable,0.037917145,0.008298804
555,stable,0.045191173,0.051083025
556,stable,0.039469402,0.01794712
557,rising,0.039658453,0.020555655
558,rising,0.03641645,0.013701161
559,rising,0.044492807,0.019119732
560,rising,0.050751224,0.030596452
561,stable,0.033759728,0.0091249915
562,stable,0.05471446,0.11778879
563,stable,0.038721398,0.07505868
564,stable,0.029824018,0.010857584
565,stable,0.02510649,0.0071732695
566,stable,0.04324223,0.11151872
567,stable,0.03088094,0.058854572
568,falling,0.024146177,0.00766864
569,falling,0.029359238,0.020011032
570,falling,0.040185258,0.006618468
571,falling,0.048790265,0.009695255
572,stable,0.068602495,0.03139273
573,falling,0.06236343,0.026347004
574,stable,0.06834857,0.007203842
575,stable,0.08682942,0.10131485
576,stable,0.0682963,0.009462971
577,stable,0.06738566,0.0068686823
578,stable,0.07849625,0.0618847
579,stable,0.08839742,0.103874005
580,rising,0.078510284,0.05813517
581,rising,0.064330235,0.0099959085
582,rising,0.07807501,0.032630168
583,rising,0.051430035,0.0059038633
584,rising,0.054846544,0.015053291
585,rising,0.042114962,0.030593542
586,stable,0.046874117,0.023256121
587,stable,0.032803193,0.015171032
588,stable,0.060384188,0.1353776
589,stable,0.049278714,0.066789694
590,stable,0.06146492,0.0857519
591,stable,0.051717218,0.015780896
592,stable,0.049414024,0.010422178
593,falling,0.060008768,0.026193516
594,falling,0.05554258,0.013298974
595,falling,0.049138702,0.04211036
596,falling,0.037592836,0.012896104
597,stable,0.037927214,0.006528797
598,stable,0.038569804,0.014951193
599,stable,0.06702492,0.11593172
600,stable,0.07660487,0.13548775
601,stable,0.039083827,0.0048343013
